DataSet Entry ID	Text	Tagger Pid	Date	Review Type	Defect Severity	Defect Type	Defect Resolution	Software Defect	Hardware Defect	Comment	Authority?
66480762	I got this phone a long time ago as a phone for texting and calling only. It was ok, but since I have an iPhone now, it's good for beginners. The phone back breaks easily, and the camera is good for this phone.Hope this review helps! 	sanarauf	10-18-2015 11:27:54	Comparison	Performance Defect	Hardware	No Resolution Specified	Hardware	Enclosure		true
66970010	I love my Lumia 1020, and while app and feature availability is lacking on Windows Phone 8, that's not Nokia's fault. Once again, they've produced a product with incredible build quality. The camera very much lives up to the hype, and this was primary reason I chose this over another iPhone. Still, overall I do like Windows Phone, particularly the live times, which appeal to my A.D.D. - get bored with my screen, wait five seconds and it completely changes. 	sanarauf	10-18-2015 11:27:54	Comparison	No Defect	No Defect	No Defect	No Defect	No Defect		true
64125926	The merchant was excellent.  I've already replaced the phone.  One drop and the glass was so cracked we couldn't use it.  Very sad. 	sanarauf	10-18-2015 11:27:54	Neutral	Unable to Use	Hardware	Replacement	Hardware	Display		true
64660601	This phone is great but I am pretty upset ... Why? Because I will never be able to use a smaller screen again. Just kidding but I bought this from Amazon because I got bored with my iPhone 4s. I've been with iPhone since 2007 and me leaving for Android was something I was real hesitant to do, but that big screen was tempting, I decided to do it and don't regret it one bit. Even though the unlocked Note has a faster processor, this phone is still super fast and has blazing fast LTE. My only concern was the battery life and I am even happy with that. I can go a full day and some on a single charge. Of course I rooted the phone and added a custom rom so I expected this (custom roms are more battery friendly then stock Android). When I was on stock I could still make it most of the day with moderate-heavy usage (By heavy I mean internet, twitter, instagram, messaging, music, it was just non stop usage). The camera is great, photos look amazing even in low lighting, and the screen is like an HD television. You can even buy a bluetooth keyboard and and hook up a mouse to use this thing like a computer! The S pen is a great feature even though I don't use it much. The only real complaint I have is how long it takes to charge which is around 3 hours, I mean you have to expect it because the battery is HUGE (2500mAh) so yeah it takes awhile to charge. After the first few battery cycles however charging time will improve. Anyway the phone itself is just a beautiful sight to look at, I get compliments everywhere I go like Whoa look at the size of that thing! no but seriously everyone is shocked at the size and then they instantly love it. In all honesty I was a bit nervous when I first received it because it really is a big phone, but after a week I viewed it as a normal size phone and everyone elses as too small (seriously I can't go any smaller now), and I would even considered going bigger. I can't wait for the Galaxy Note 2 which is rumored to arrive in December. Honestly if you don't care about 4G LTE (because that's the ATT Note's specialty) then I would get the unlocked Galaxy Note N7000 it has a faster processor and better battery life. Both are great phones however, and I wouldn't trade this thing for any other phone not even the new Samsung Galaxy S III. It's the best Android phone ever! 	sanarauf	10-18-2015 11:27:54	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		true
64189311	The cost of a flip phone is still good, and this phone is very handy and functional.  It's a great phone tool...! 	sanarauf	10-18-2015 11:27:54	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		true
64140533	This phone was a big mistake, nothing but trouble.  Excellent camera but otherwise terrible.  I've given up trying to make it work and looking for a replacement now. 	l3g4cy	10-19-2015 14:23:29	Complaint	Unable to Use	Software	Other	Operating System	Software	looking for a replacement, but hasn't gone through with it; camera works	false
64725898	Purchased this to replace a lost phone and did not have the funds to upgrade and do not want to loose my unlimited data plan w/ Verizon.  Would give it a 5 but it is difficult to turn on most of the time. The button on the top of the phone is very small.  Otherwise it works great and is just what I was expecting for an older model smart phone. 	l3g4cy	10-19-2015 14:23:29	Complaint	Performance Defect	No Defect	No Defect	No Defect	No Defect	external button was too small	false
83758198	...difficult to program ..user manual very vague ..not a as simple as advertised ..too many #34; bells and whistles #34;. 	l3g4cy	10-19-2015 14:23:29	Complaint	No Defect	No Defect	No Defect	No Defect	No Defect	phone worked, but was not intuitive	false
65399537	excellent phone, brand new and sealed in its box! Everything works great! thanks! thoroughly recommended. Excellent iPhone5 Haunted, delicate and elegant phone 	l3g4cy	10-19-2015 14:23:29	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
64785440	I am a dedicated Blackberry user and wanted to stick with the keyboard so rather then switching to an android or iphone I went for it with the BB Q10. I am very happy, phone came new, unlocked and I have had zero problems other then getting used to a new phone. 	l3g4cy	10-19-2015 14:23:29	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
65903211	I wanted a Windows 8 phone, especially after working with my wife's Apple 4s. It's a toy, my opinion.  I wanted a smartphone  that would work with real world applications and hardware.  The interface took some time to master, but it is very versatile.The camera takes get pictures and with the new lens apps they are look professional. There are plenty apps to do whatever someone would need to do. 	l3g4cy	10-19-2015 14:47:44	Comparison	No Defect	No Defect	No Defect	No Defect	No Defect		false
66824420	muy buen producto entrega inmediata garantia al cien por ciento; exelente negociacion muy bueno no hubo ningun invonvemiente los recomiendo 	l3g4cy	10-19-2015 14:47:44	Other	Other	No Defect	No Defect	No Defect	No Defect	different language	false
75956926	I gave it 4 stars although it deserves 5, but there's something wrong and not related to the device, but the seller.The seller says in the features of this device that it works at 3G on 900/1900 MHz and it is not.It only support 3G on 850/2100 MHz.This means that I trusted the features specified by the page, provided by the seller (which never got worry about sending an user manual in english to me, by the way) and the phone is really great, it is. But I'm condemned to be under a wi-fi connection to have the whole experience of using it.Thanks anyway.I've lost $180.50 but I'll never buy anything else to the same seller and that's for sure. 	l3g4cy	10-19-2015 14:47:44	Other	No Defect	No Defect	No Defect	No Defect	No Defect	phone works, mostly complains about seller	false
65098326	I'm not a big cell phone user. All I wanted in a phone was to make phone calls and text.  Heres what I didnt want... a contract, a monthly bill, and the ability to surf the web or check my email.  I have a iPad for that!I love this phone! It fits all  my requirements. I couldn't be happier especially at the end of the month when I don't have to pay a monthly phone and data plan. 	l3g4cy	10-19-2015 14:47:44	Other	No Defect	No Defect	No Defect	No Defect	No Defect	loves phone, mostly about no contract	false
65637850	The phone has WIFI, and fits easy into my palms.Though, I bought it used, the casing is still very neat. kudos to Falken Mobile. 	l3g4cy	10-19-2015 14:47:44	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
64236840	Most of the pros and cons are well documneted in the other reviews.  For my purposes, I would agree that this is about the best unlocked phone you can buy for the price, especially if you prefer android. I haven't had it long enough to know how well the batter will perform -- that is my one concern, but if it does hold out then I will be extremely pleased. 	l3g4cy	10-19-2015 14:56:07	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
